bucket_id,bucket_min,bucket_max,seed_rank,dataset_idx,genotype,fitness,sampling_seed
B1,0.3,0.5,1,2739,"L(RXRcXcX,XQX)",0.30993452,20260607
B1,0.3,0.5,2,2250,"cLXFmL(QLQX(XXFlX,),X)",0.46880362,20260607
B1,0.3,0.5,3,2308,"F(qX(,XrCXQXCX),XlXX)",0.44214161,20260607
B1,0.3,0.5,4,2448,"X(FXfqCCqXLXM(CmX),X)",0.41767755,20260607
B1,0.3,0.5,5,2457,"L(RXfXcQXRLX,LqX)",0.41293969,20260607
B1,0.3,0.5,6,1943,XRQmCCXCXLX,0.44235098,20260607
B1,0.3,0.5,7,2833,"rc(X,XrrcXcXLX)",0.3680386,20260607
B1,0.3,0.5,8,2779,"((rrCXMXXMXRCMX),X)",0.43416098,20260607
B1,0.3,0.5,9,2557,"(LX,cqmcfXXcXX)",0.39372843,20260607
B1,0.3,0.5,10,2214,"X(mX,rrccXcLXQX)",0.46865552,20260607
B1,0.3,0.5,11,2327,"(qmXXrQFcX(XqX),XX)",0.32695819,20260607
B1,0.3,0.5,12,2851,"XR(LQXCfQCqXX,mX)",0.39258118,20260607
B1,0.3,0.5,13,2538,"cX(qXcXXrcXcLlXmX,)",0.49589262,20260607
B1,0.3,0.5,14,3617,"rL(qfXccmXcMX,cX)",0.45826419,20260607
B1,0.3,0.5,15,10113,"LXq(XMcXXXX,XcX)",0.33582544,20260607
B1,0.3,0.5,16,2095,"L(XRCQX(CXXX),CXX)",0.48227242,20260607
B1,0.3,0.5,17,2156,"LXC(RRCXLcX(qX,),mX)",0.49911509,20260607
B1,0.3,0.5,18,2147,"CXL(QQXCXXXLX,XrQX)",0.42296691,20260607
B1,0.3,0.5,19,2021,rCXmXQCXXCXXCXX,0.47799119,20260607
B1,0.3,0.5,20,1911,"Xf(FqXcXcXXX,XX)",0.35562291,20260607
B1,0.3,0.5,21,9939,"(XX,cQXXcXX)",0.38808163,20260607
B1,0.3,0.5,22,2691,"(L(rfXXqXCXX),LfX)",0.32326232,20260607
B1,0.3,0.5,23,2449,LcXQXcQXXcXLX,0.4796081,20260607
B1,0.3,0.5,24,2124,"(CX(qXXXCCFCX,X))",0.35560948,20260607
B1,0.3,0.5,25,2571,"(XX,,CQQCXXfCXCFX)",0.31461081,20260607
B2,0.5,0.75,1,2370,"Cm(QfL(RCCMXLmCXX,X))",0.64291979,20260607
B2,0.5,0.75,2,3256,"(FLXCllX,MLXRRLFXCCXXXFX)",0.74777487,20260607
B2,0.5,0.75,3,2476,"C(CqXXLX(qCXXXX),LXX)",0.64895847,20260607
B2,0.5,0.75,4,3550,"MLXf(MXCLQQXCXmXr(QXX),rLFX)",0.74958096,20260607
B2,0.5,0.75,5,8198,LXRMLLXcqLcccXLXfXfXcXQXFqLMCX,0.74714776,20260607
B2,0.5,0.75,6,2002,"C(mQX,RRXCXCXX)",0.54613637,20260607
B2,0.5,0.75,7,3180,"Xq(,LLXXCXXXX,LmXqmX)",0.72737676,20260607
B2,0.5,0.75,8,4174,RFmCLXCqCXCLXCmXQmmX,0.71492963,20260607
B2,0.5,0.75,9,2075,"CLC((XXX),rrX(XXXfX))",0.57717338,20260607
B2,0.5,0.75,10,3584,"C((X),QmLLmLLQQmFXLCmXX)",0.62016791,20260607
B2,0.5,0.75,11,2780,"X(XLQCQXCXX(LXlX),XX)",0.67574532,20260607
B2,0.5,0.75,12,3082,"cX(QXXcFXXfX,XX,X)",0.60437264,20260607
B2,0.5,0.75,13,2118,"rL((qqLXQ(QcXrX,)),LX)",0.5129114,20260607
B2,0.5,0.75,14,3163,"(LX,RRFcfccXXXXXcX,cLLXfLXXX,)",0.62588768,20260607
B2,0.5,0.75,15,3336,"cLcX((rXqXm(XXXX,X)),XX)",0.60988308,20260607
B2,0.5,0.75,16,2590,"(fQXX(cXLXX),cX)",0.53100638,20260607
B2,0.5,0.75,17,3551,XCLXQCXXLLXMCXXX,0.66034634,20260607
B2,0.5,0.75,18,3699,"c(RX((cXXXRfX)),RXrLQXcX)",0.51309548,20260607
B2,0.5,0.75,19,10220,"mqLX(LX(mqXMCCXLX),LqX)",0.68860912,20260607
B2,0.5,0.75,20,2114,"(X,rrFcXMLcccXX,)",0.60248412,20260607
B2,0.5,0.75,21,2979,"(mLFX(CQLXXCLRXCLXrX),QmX)",0.69158806,20260607
B2,0.5,0.75,22,2598,XfRqqcXcmXXXMcXXX,0.53518701,20260607
B2,0.5,0.75,23,10260,"(XX,cLqlXLXLcXrcXXXmXRQMqcX)",0.69097857,20260607
B2,0.5,0.75,24,2084,"X(qXClLXqCLX(fXXQQXX),XX)",0.64377964,20260607
B2,0.5,0.75,25,3444,"RL(m(mX),XmM(FXmX,X,),QXmMLcXqX)",0.69737618,20260607
B3,0.75,1,1,9059,RlQXcfLLQXXFfFXLLccQXMXLLXXRQX,0.94807997,20260607
B3,0.75,1,2,5976,"LL(XLQqmXCFLqXCFXMXRMX,FfLmX((X)))",0.85594415,20260607
B3,0.75,1,3,4673,"L((FXLLCqmLXLXQLCqXrLMXX),XX)",0.94039275,20260607
B3,0.75,1,4,5462,"rFL(MXqCXLLLXR(LX,rLqX),LLX)",0.83264352,20260607
B3,0.75,1,5,4395,"FL(MLXqCXLXCXMMfX(FX),rXrcqX)",0.93594239,20260607
B3,0.75,1,6,6787,"Mc(RXX,LLcFlqXLXMcXLLfXMLX,)",0.83827815,20260607
B3,0.75,1,7,4392,"(XQMXQccXf(FmLLMXX),LX,X)",0.84419128,20260607
B3,0.75,1,8,3875,"LLXL(qCXrLlmCXmLQXLQX,,,mX)",0.93060537,20260607
B3,0.75,1,9,7210,"mL(LLLFfXCLMCMCFQXXCQFXLLLXRLX,X)",0.87400083,20260607
B3,0.75,1,10,5106,"L(,rLmXMXrFFMCX((LLCXX)),MXX)",0.98919492,20260607
B3,0.75,1,11,4801,cXmqFXXcXLXXXrLcXcLXX,0.76719123,20260607
B3,0.75,1,12,7066,"mLcLL(,,LLQXcX,LXQfcFFXXLXmXcXrX)",0.88148133,20260607
B3,0.75,1,13,5119,"rLL(LCXMfCqXXCXMX,LX(XX,LX,X))",0.94832526,20260607
B3,0.75,1,14,6869,"(,RCfCLLXXqqX(LLCXRLLfqFCXX))",0.85606082,20260607
B3,0.75,1,15,10618,CMLXRcCcLXLffFXRcLcXRmfXXRcLfXLfX,0.96219366,20260607
B3,0.75,1,16,4531,"X(RLFQXrcXXL(LMFXrX),qX)",0.81571351,20260607
B3,0.75,1,17,6167,"RlLmXM(RQX,QLXcLXcLXLX)",0.96950441,20260607
B3,0.75,1,18,5356,"LFm(fX(qCLXCfMXLmXrLfCXFX),X)",0.92755255,20260607
B3,0.75,1,19,3000,"(RRLmc(MFXXcXXX,XQX,),cfX)",0.85439117,20260607
B3,0.75,1,20,9118,"(LLLXCQCXLXLXRfLLLCXLqXLLX,X)",0.98873546,20260607
B3,0.75,1,21,4233,"(LQXFCLXCQLXLXLmmCXXX,LLX)",0.95607245,20260607
B3,0.75,1,22,3682,"C(LCRXFXQCXX,qLLXqXRmCXRX)",0.78991658,20260607
B3,0.75,1,23,10376,"FXL(LXCqqFXLFXCLLLQXLX,LX)",0.99012345,20260607
B3,0.75,1,24,4831,"(RFL(XLXCXLX,XrQLcQXXcXmX))",0.7608087,20260607
B3,0.75,1,25,7635,"cLXcLL((rrX),rrLXCMXCMCCCLXcf(MQX))",0.97815914,20260607
B4,1,1.2,1,9661,LLLXrLqLXrMCFCFmFXXLCLXrCFLLLCXmMMfqLXMX,1.1080895,20260607
B4,1,1.2,2,5001,LXcLLcXrQcqXLcXrLmXrcXmX,1.0883537,20260607
B4,1,1.2,3,7245,"Xm(M(,LQXRcXfcXLLXRLcXLcLLFXXLX),,)",1.075626,20260607
B4,1,1.2,4,3980,"FL(LLXCqXfMXLCLXX(qFX),XX)",1.1508985,20260607
B4,1,1.2,5,926,rqfLLXFLXcLLcLLmQFXRccLXrLXffXfqXcX,1.0813992,20260607
B4,1,1.2,6,3490,"L(mXX,rrcXcXLXXrCX)",1.1353972,20260607
B4,1,1.2,7,10784,"MLLMX(((qcX)),mLMLLcLXLCmCCqCCqFFmXXRLLLFLLXLX)",1.1949197,20260607
B4,1,1.2,8,6100,"F(rMcLCXrLLXL(FXX,XLX),MXrXX)",1.069339,20260607
B4,1,1.2,9,3946,"LLCq(MMXLqXL(,QLQXQX),qXX,X)",1.0110593,20260607
B4,1,1.2,10,8498,"mLLm(XrCfXrFCLXLmLCXFLMmX,ffXLFRLX)",1.0284174,20260607
B4,1,1.2,11,6804,"ML(LXCFqX(XLLCXfXrqFX),XX)",1.063246,20260607
B4,1,1.2,12,4000,"LFXM(LLXL(rrLmfCXCXLXrX,),rX)",1.1507463,20260607
B4,1,1.2,13,5317,"L(F(FXLCLqXLFXLCXXLX),rLFXrX)",1.1121257,20260607
B4,1,1.2,14,8956,"LLMLLMXLC(((mLQXLcfXRccLFLXRXrMLfMmL(FcLcfmX,))),QqLX)",1.0366661,20260607
B4,1,1.2,15,9114,"F(fLcMXRf(XRmqX,,RLXcXmXLLLFLfFLLX),qXRX)",1.1664321,20260607
B4,1,1.2,16,9482,LXLXqLLCCMXXXLXFLMfXCX,1.0924178,20260607
B4,1,1.2,17,1622,"mL(LLXCLXRLXRLCX,FmLLLQXccFXQLXfL(rFLLX))",1.0782407,20260607
B4,1,1.2,18,9410,"(LfcXXQcmXFXcLLLLXcQLmXX,LX)",1.0174594,20260607
B4,1,1.2,19,5807,Cc((RCLQLXRLCCXmXLXCFLX(fX))),1.1115972,20260607
B4,1,1.2,20,7996,"Lc(ff(MQQQXRLX),RLFLXX,LM(RQFMXrcLLcXmLX))",1.1999622,20260607
B4,1,1.2,21,8188,"Lm(rMX(CLX),rcFLXrLcXLXCMccXmFX)",1.141085,20260607
B4,1,1.2,22,5942,"f(LLFCQQXrCqCXXfXXFLXCmLLLX,)",1.1815582,20260607
B4,1,1.2,23,6928,XLLLCXRCCQXrmLCXRQXFXcX,1.1555955,20260607
B4,1,1.2,24,3985,"LLQCC(qXCXLX,RLXCLLXXFXFCMX)",1.1290504,20260607
B4,1,1.2,25,8123,LmLqfXXXLLLCCqLCXLMfmXLLCXMMXLCLLFXFLX,1.152768,20260607
